username,created_at,content_length,reblogs,favorites,hour,engagement
fm4.orf.at,2025-11-13 12:32:51.714000+00:00,245,0,0,12,0
sibakari,2025-11-13 12:33:00.845000+00:00,57,0,0,12,0
attitudonline,2025-11-13 12:33:00.705000+00:00,0,0,0,12,0
sawahmaya,2025-11-13 12:33:00.551000+00:00,544,0,0,12,0
luisjcarrillom66,2025-11-13 12:33:00.541000+00:00,186,0,0,12,0
talkiyanhoninjai,2025-11-13 12:32:59+00:00,88,0,0,12,0
kexpmusicbot.bsky.social,2025-11-13 12:32:57.910000+00:00,226,0,0,12,0
bluecorncrust,2025-11-13 12:32:59+00:00,112,0,0,12,0
franbe,2025-11-13 12:32:55.222000+00:00,10,0,0,12,0
bloomberg,2025-11-13 12:24:19+00:00,278,0,0,12,0
efialto,2025-11-13 12:32:57+00:00,445,0,0,12,0
startrek2025,2025-11-13 12:32:58+00:00,68,0,0,12,0
bloomberg,2025-11-13 12:28:13+00:00,272,0,0,12,0
ukrainenow,2025-11-13 12:32:39+00:00,543,0,0,12,0
Pero,2025-11-13 12:32:56+00:00,9,0,0,12,0
ch15en96,2025-11-13 12:32:56+00:00,104,0,0,12,0
TheMirror,2025-11-13 12:18:08+00:00,232,0,0,12,0
Biomanni,2025-11-13 12:32:56.023000+00:00,122,0,0,12,0
vikabout,2025-11-13 12:32:55.872000+00:00,16,0,0,12,0
StellarMiut,2025-11-13 12:32:54+00:00,18,0,0,12,0
w0nder_official,2025-11-13 12:17:44+00:00,106,0,0,12,0
TimesofIndia_,2025-11-13 12:14:22+00:00,357,0,0,12,0
chidianerhaode,2025-11-13 12:17:41+00:00,10,0,0,12,0
dissolveinlove,2025-11-13 12:32:54+00:00,60,0,0,12,0
hmz,2025-11-13 12:32:50+00:00,473,0,0,12,0
VanVu74184,2025-11-13 12:32:54+00:00,217,0,0,12,0
GreenSkyOverMe,2025-11-13 12:32:54+00:00,47,0,0,12,0
LeFigaro,2025-11-13 11:46:59+00:00,323,0,0,11,0
JovemPan,2025-11-13 12:15:07+00:00,255,0,0,12,0
risahana,2025-11-13 12:32:53+00:00,9,0,0,12,0
paulk,2025-11-13 12:32:52+00:00,21,0,0,12,0
ossos,2025-11-13 12:32:52+00:00,218,0,0,12,0
ponko2novel,2025-11-13 12:32:52.939000+00:00,26,0,0,12,0
Ink,2025-11-13 12:32:53.490000+00:00,604,0,0,12,0
TheMirror,2025-11-13 12:17:24+00:00,255,0,0,12,0
sfb,2025-11-13 12:32:52+00:00,133,0,0,12,0
muenster,2025-11-13 12:32:52.568000+00:00,193,0,0,12,0
huiee22_,2025-11-13 12:17:37+00:00,43,0,0,12,0
eldiarioes,2025-11-13 11:52:25+00:00,4192,0,0,11,0
privacy1st,2025-11-13 12:32:51.295000+00:00,176,0,0,12,0
neander,2025-11-13 12:32:50+00:00,30,0,0,12,0
TimesofIndia_,2025-11-13 12:20:38+00:00,371,0,0,12,0
Independent,2025-11-13 12:12:44+00:00,284,0,0,12,0
chidianerhaode,2025-11-13 12:17:39+00:00,2928,0,0,12,0
EveningStandard,2025-11-13 12:18:15+00:00,269,1,0,12,1
undercodenews,2025-11-13 12:32:49.375000+00:00,591,0,0,12,0
hos1miya,2025-11-13 12:32:49.436000+00:00,32,0,0,12,0
focope,2025-11-13 12:32:48+00:00,79,0,0,12,0
britandco,2025-11-13 12:30:02+00:00,223,0,0,12,0
jdv_jazz,2025-11-13 12:32:44+00:00,86,0,0,12,0
AngelinaCH,2025-11-13 12:32:47.515000+00:00,551,0,0,12,0
fediversecounter,2025-11-13 12:32:47.293000+00:00,233,0,0,12,0
MajaLeee,2025-11-13 12:32:45+00:00,339,0,0,12,0
petsreelsecia,2025-11-13 12:17:32+00:00,71,0,0,12,0
hellvetikaseraph.bsky.social,2025-11-13 12:32:37.230000+00:00,197,0,0,12,0
FarOutMagazine,2025-11-13 12:26:26+00:00,254,1,0,12,1
nivadaily,2025-11-13 12:32:44.535000+00:00,203,0,0,12,0
spectorshockey,2025-11-13 12:32:42+00:00,284,0,0,12,0
pedrosiilvestree,2025-11-13 12:17:33+00:00,128,0,0,12,0
jens2go,2025-11-13 12:32:43.725000+00:00,181,0,0,12,0
TimesofIndia_,2025-11-13 12:09:08+00:00,259,0,0,12,0
Eduse7en42,2025-11-13 12:32:42+00:00,73,0,0,12,0
bobfisherphoto,2025-11-13 12:32:34+00:00,216,0,0,12,0
youtube_ANNnewsCH,2025-11-13 12:32:42+00:00,153,0,0,12,0
Audrey,2025-11-13 12:32:42+00:00,14,0,0,12,0
MrEmogical,2025-11-13 12:32:43.028000+00:00,284,0,0,12,0
dw_brasil,2025-11-13 11:54:00+00:00,257,1,0,11,1
HindustanTimes,2025-11-13 12:11:39+00:00,265,2,0,12,2
TheMirror,2025-11-13 12:11:31+00:00,252,0,0,12,0
addpk,2025-11-13 12:32:42+00:00,176,1,0,12,1
dangervest_bot,2025-11-13 12:32:40+00:00,18,0,0,12,0
peh_mirror,2025-11-13 12:32:40.172000+00:00,80,0,0,12,0
Mi,2025-11-13 12:32:39.238000+00:00,21,0,0,12,0
knifesheepi,2025-11-13 12:32:39+00:00,37,0,0,12,0
gambolloch.bsky.social,2025-11-13 12:32:31.412000+00:00,12,0,0,12,0
malaysiagazette,2025-11-13 12:32:39.579000+00:00,166,0,0,12,0
onedollarpizza.bsky.social,2025-11-13 12:32:26.678000+00:00,84,0,0,12,0
HesaplaGo,2025-11-13 12:32:39.146000+00:00,176,0,0,12,0
openletterbot,2025-11-13 12:32:38.829000+00:00,99,0,0,12,0
Yardbarker,2025-11-13 12:11:43+00:00,326,0,0,12,0
Yardbarker,2025-11-13 12:29:53+00:00,301,0,0,12,0
si_flipboard,2025-11-13 12:30:01+00:00,257,0,0,12,0
women,2025-11-13 12:32:33+00:00,61,0,0,12,0
thoughtswordsaction,2025-11-13 12:32:37.658000+00:00,638,0,0,12,0
TweetBotLegacyCo,2025-11-13 12:32:37.501000+00:00,35,0,0,12,0
risahana,2025-11-13 12:32:36+00:00,7,0,0,12,0
Zongora,2025-11-13 12:32:35+00:00,150,0,0,12,0
pacesetters.eu,2024-07-17 10:21:52.583000+00:00,113,0,0,10,0
fogolf,2025-11-13 12:32:35+00:00,92,0,0,12,0
ultlittleshit,2025-11-13 12:32:36.525000+00:00,59,0,0,12,0
radionizza,2025-11-13 12:32:36.374000+00:00,475,0,0,12,0
akamujina,2025-11-13 12:32:35+00:00,26,0,0,12,0
events,2025-11-13 12:32:35.514000+00:00,785,0,0,12,0
outonashout,2025-11-13 12:32:34+00:00,81,0,0,12,0
JPFinlayNBCS,2025-11-13 12:31:18+00:00,136,0,0,12,0
darylelliott.bsky.social,2025-11-13 12:32:32.843000+00:00,380,0,0,12,0
randomwrdsbot,2025-11-13 12:32:34.612000+00:00,23,0,0,12,0
knife,2025-11-13 12:32:31+00:00,601,0,0,12,0
nsfw_bot,2025-11-13 12:32:33.116000+00:00,241,0,0,12,0
su22m4r,2025-11-13 12:32:22+00:00,25,0,0,12,0
fansided,2025-11-13 11:30:00+00:00,215,0,0,11,0
N1GPBot,2025-11-13 12:32:33.054000+00:00,70,0,0,12,0
abcgazetesi,2025-11-13 12:32:32+00:00,183,0,0,12,0
AleF2050,2025-11-13 12:32:32+00:00,158,0,0,12,0
nomxd,2025-11-13 12:32:32.880000+00:00,323,0,0,12,0
TheMirror,2025-11-13 12:10:39+00:00,248,0,0,12,0
JohnSullivan,2025-11-13 12:32:31+00:00,115,0,0,12,0
Waxingtonknee,2025-11-13 12:32:29+00:00,275,0,0,12,0
TheHindu,2025-11-13 12:26:38+00:00,390,0,0,12,0
rafinch55,2025-11-13 12:32:31.782000+00:00,45,0,0,12,0
hnonline,2025-11-13 12:32:30+00:00,360,0,0,12,0
CartyBoston,2025-11-13 12:32:28+00:00,42,0,0,12,0
eldiarioes,2025-11-13 12:00:51+00:00,10047,0,0,12,0
gentlemangangster,2025-11-13 12:32:31.369000+00:00,482,1,0,12,1
ninlyricbot,2025-11-13 12:32:31.013000+00:00,277,0,0,12,0
Amoxtli,2025-11-13 12:32:07.011000+00:00,136,0,0,12,0
hnonline,2025-11-13 12:32:29+00:00,288,0,0,12,0
Adam,2025-11-13 12:32:29+00:00,51,0,0,12,0
moonmourning,2025-11-13 12:32:30.358000+00:00,259,0,0,12,0
Tonbi_ko,2025-11-13 12:32:28+00:00,74,0,0,12,0
assaf,2025-11-13 12:32:29.220000+00:00,14678,0,0,12,0
lucylarue,2025-11-13 12:32:30.098000+00:00,129,0,0,12,0
hnonline,2025-11-13 12:32:29+00:00,374,0,0,12,0
jdv_dance,2025-11-13 12:32:23+00:00,68,0,0,12,0
llewelynpritchard.bsky.social,2025-11-13 12:32:24.026000+00:00,99,0,0,12,0
improbablemaps,2025-11-13 12:32:28.958000+00:00,62,0,0,12,0
AxiosNews,2025-11-13 12:20:05+00:00,258,1,0,12,1
girlfleeshouse,2025-11-13 12:32:28.583000+00:00,92,0,0,12,0
negikey,2025-11-13 12:32:28.079000+00:00,55,0,0,12,0
k_taka,2025-11-13 12:32:25+00:00,14,0,0,12,0
spravy_rtvs,2025-11-13 12:32:26+00:00,342,0,0,12,0
bjornfr.bsky.social,2025-11-13 12:32:13.975000+00:00,287,0,0,12,0
baruica,2025-11-13 12:32:27.009000+00:00,67,0,0,12,0
aesthr,2025-11-13 12:32:22+00:00,81,0,0,12,0
Free_Press,2025-11-13 12:32:10+00:00,489,1,0,12,1
HindustanTimes,2025-11-13 12:04:06+00:00,327,2,0,12,2
takemaru512mm,2025-11-13 12:32:25+00:00,6,0,0,12,0
DNBAnythingBot,2025-11-13 12:32:26.657000+00:00,20,0,0,12,0
volkskrant,2025-11-13 12:32:17+00:00,202,0,0,12,0
kanageohis1964,2025-11-13 12:32:23+00:00,252,0,0,12,0
incise,2025-11-13 12:32:23+00:00,255,1,0,12,1
Destiny2Bot,2025-11-13 12:32:25.723000+00:00,56,0,0,12,0
SharG,2025-11-13 12:32:25.598000+00:00,92,0,0,12,0
kuvo_playlist,2025-11-13 12:32:25.454000+00:00,128,0,0,12,0
kakao,2025-11-13 12:32:23.837000+00:00,31,1,0,12,1
Tukinari,2025-11-13 12:32:24.672000+00:00,39,1,0,12,1
chouti,2025-11-13 12:32:21+00:00,68,0,0,12,0
